Trip_ID,Distance_km,Duration_min,Passengers,Traffic_Level,Peak_Hour,Weather,Fare
1,19.54,54.9,1,Medium,Yes,Clear,576.54
2,13.24,40.2,1,Medium,Yes,Cloudy,445.03
3,13.17,54.3,2,Medium,No,Clear,476.24
4,28.76,107.4,3,Medium,Yes,Cloudy,863.92
5,16.55,91,5,High,No,Clear,630.62
6,3.02,20.2,2,High,No,Clear,141.34
7,25.19,76.6,1,Medium,No,Cloudy,725.45
8,5.74,31.6,5,Low,No,Cloudy,250.96
9,2.62,19.4,1,Low,Yes,Rainy,152.79
10,10.13,43.2,4,Low,No,Cloudy,379.43
11,16.63,79.1,3,Low,Yes,Clear,564.87
12,3.64,19,4,Medium,No,Clear,215.19
13,14.57,43.4,1,Medium,No,Clear,417.05
14,19.59,56.5,3,High,Yes,Clear,605.68
15,4.09,25.5,2,Low,Yes,Clear,184.75
16,23.58,105,1,Low,No,Rainy,722.5
17,24.4,83.8,1,Low,No,Clear,704.41
18,23.06,118.8,5,Low,No,Cloudy,772.84
19,28.97,150,3,Medium,Yes,Clear,920.87
20,27.09,109.4,1,Medium,No,Clear,810.57
21,3.06,19.6,3,Low,No,Cloudy,211.26
22,7.21,30.7,4,Low,No,Clear,257.06
23,3.74,19.2,1,Medium,Yes,Clear,215.88
24,12.68,51.6,2,Medium,No,Clear,410.21
25,14.42,85.3,5,Low,Yes,Clear,553.79
26,1.43,9,4,Medium,No,Clear,120.86
27,2.7,17.9,4,Low,Yes,Cloudy,176.53
28,23.72,108.8,2,High,No,Clear,767.41
29,22.69,61.5,5,Low,Yes,Clear,621.79
30,6.39,31.1,1,High,No,Clear,265.38
31,2.15,8.1,3,High,No,Cloudy,144.96
32,7.92,32.6,3,High,Yes,Clear,319.39
33,19.01,88.7,5,Low,Yes,Rainy,653.92
34,26.5,104.8,3,Medium,Yes,Cloudy,844.26
35,1.23,9.3,2,Low,Yes,Cloudy,150.7
36,5.51,24.3,3,Medium,No,Rainy,267.41
37,2.47,16.4,3,Medium,No,Clear,160.27
38,22.5,98,1,High,Yes,Clear,731.82
39,2.04,8.3,1,Low,Yes,Cloudy,123.11
40,25.96,140.7,1,Medium,No,Rainy,878.5
41,29.24,146.5,2,High,Yes,Rainy,969.01
42,1.72,8.5,2,Low,Yes,Clear,164.86
43,26.29,139.7,4,Low,Yes,Rainy,913.84
44,7.46,35.8,1,High,No,Cloudy,322.67
45,12.59,64.3,1,High,No,Clear,452.4
46,29.52,79.2,3,Medium,Yes,Clear,795.1
47,27.09,92.3,5,High,No,Cloudy,816.57
48,22.52,105.6,3,Medium,Yes,Clear,743.42
49,27.1,112.2,3,Medium,No,Cloudy,809.24
50,12,64.3,4,Medium,No,Clear,470.51
51,13.47,59.6,4,Medium,No,Cloudy,450.1
52,28.84,139,5,Low,Yes,Cloudy,906.19
53,20.51,70.4,2,High,No,Cloudy,633.28
54,14.21,72.6,4,Medium,No,Cloudy,495.93
55,1.16,10.8,4,Low,Yes,Cloudy,125.22
56,14.47,67.1,2,High,Yes,Rainy,530.04
57,18.27,107,5,Medium,Yes,Clear,656.89
58,5.62,27.2,3,Medium,No,Cloudy,261.3
59,8.96,28.8,3,High,No,Clear,345.17
60,12.11,41.8,3,Medium,No,Clear,415.12
61,13.18,68.4,5,Medium,No,Clear,467.17
62,22.85,124.6,5,Medium,Yes,Clear,789.41
63,8.92,35.7,4,Medium,Yes,Rainy,375.22
64,29.44,130.2,1,Low,No,Rainy,868.58
65,6.27,23.5,3,Medium,No,Cloudy,274.04
66,25.13,87.5,5,Low,Yes,Clear,736.79
67,2.99,22,2,Low,No,Clear,163.48
68,4.66,23.4,3,Medium,No,Cloudy,219.87
69,22.69,73.9,1,Medium,Yes,Clear,614.1
70,27.33,106.6,5,Medium,No,Clear,816.68
71,23.4,121.5,5,Medium,No,Clear,777.51
